Species;Order;Continent;Geographic_region;Country;Economic_class;1980;2000;2010;2050
Bighead carp;Other;;;;;0.65;0.716666666666667;0.75;0.9
Catla;Other;;;;;0.65;0.716666666666667;0.75;0.9
Roho labeo;Other;;;;;0.65;0.716666666666667;0.75;0.9
Silver carp;Other;;;;;0.65;0.716666666666667;0.75;0.9
Other;Other;;;;;0.65;0.716666666666667;0.75;0.9
Other;SILURIFORMES;;;;;0.8;0.866666666666667;0.9;0.9
Grass-eaters nei;Other;;;;;0.8;0.866666666666667;0.9;0.9
Milkfish;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;ACANTHUROIDEI;;;;;0.8;0.866666666666667;0.9;0.9
Other;MUGILIFORMES;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Black carp;Other;;;;;0.65;0.716666666666667;0.75;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Other;Other;;;;;0.8;0.866666666666667;0.9;0.9
Atlantic salmon;Other;;;;;0.8;0.866666666666667;0.9;0.9
Rainbow trout;Other;;;;;0.8;0.866666666666667;0.9;0.9
